Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0603_1608Metric",41.500000,37.875000,-90.000000,top
"C2","22u","C_0603_1608Metric",31.500000,37.875000,-90.000000,top
"C3","100n","C_0402_1005Metric",20.100000,28.725000,90.000000,top
"C4","100n","C_0402_1005Metric",27.100000,18.525000,90.000000,top
"C5","1u","C_0402_1005Metric",24.700000,27.475000,90.000000,top
"C6","100n","C_0402_1005Metric",27.700000,21.925000,0.000000,top
"C7","100n","C_0402_1005Metric",28.250000,18.525000,90.000000,top
"C8","100n","C_0402_1005Metric",27.725000,23.100000,0.000000,top
"C9","100n","C_0402_1005Metric",17.150000,19.950000,-90.000000,top
"C10","100n","C_0402_1005Metric",27.700000,26.725000,0.000000,top
"C11","100n","C_0402_1005Metric",17.150000,23.750000,-90.000000,top
"C12","100n","C_0402_1005Metric",27.725000,25.500000,0.000000,top
"C13","100n","C_0402_1005Metric",27.725000,24.300000,0.000000,top
"C14","1u","C_0402_1005Metric",21.300000,28.725000,90.000000,top
"C15","100n","C_0402_1005Metric",17.700000,29.725000,0.000000,top
"C16","22p","C_0402_1005Metric",31.200000,17.445000,90.000000,top
"C17","22p","C_0402_1005Metric",37.225000,18.250000,-90.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",22.800000,37.525000,180.000000,top
"R1","5k1","R_0402_1005Metric",29.000000,33.200000,90.000000,top
"R2","5k1","R_0402_1005Metric",16.700000,33.200000,90.000000,top
"R3","27R4","R_0402_1005Metric",22.350000,30.725000,-90.000000,top
"R4","27R4","R_0402_1005Metric",23.550000,30.725000,90.000000,top
"R5","1k","R_0402_1005Metric",14.500000,22.335000,90.000000,top
"R6","1k","R_0402_1005Metric",29.900000,17.425000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",36.500000,34.025000,-90.000000,top
"U2","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",22.250000,21.725000,0.000000,top
"U3","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",10.950000,27.775000,0.000000,top
"Y1","12Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",34.500000,17.725000,180.000000,top
